column_number,row_letter,concentration,well,plate,mouse_id,name
14,11,1.1062357478027853,11.014.0,MAA000154,30_2_M,11.014.0-MAA000154-30_2_M-1
14,12,3.0560257387189997,12.014.0,MAA000154,30_2_M,12.014.0-MAA000154-30_2_M-1
14,13,1.6222302504956385,13.014.0,MAA000154,30_2_M,13.014.0-MAA000154-30_2_M-1
14,14,0.4912660236126156,14.014.0,MAA000154,30_2_M,14.014.0-MAA000154-30_2_M-1
14,15,1.3088391939406643,15.014.0,MAA000154,30_2_M,15.014.0-MAA000154-30_2_M-1
15,0,1.3192089486981267,0.015.0,MAA000154,30_2_M,0.015.0-MAA000154-30_2_M-1
15,1,0.8721082950111403,1.015.0,MAA000154,30_2_M,1.015.0-MAA000154-30_2_M-1
15,2,1.2921765900824593,2.015.0,MAA000154,30_2_M,2.015.0-MAA000154-30_2_M-1
15,3,1.1376796745154785,3.015.0,MAA000154,30_2_M,3.015.0-MAA000154-30_2_M-1
15,4,3.2966372762915617,4.015.0,MAA000154,30_2_M,4.015.0-MAA000154-30_2_M-1
15,5,0.9553735053821211,5.015.0,MAA000154,30_2_M,5.015.0-MAA000154-30_2_M-1
15,6,0.81777465260456,6.015.0,MAA000154,30_2_M,6.015.0-MAA000154-30_2_M-1
15,7,1.665018038711683,7.015.0,MAA000154,30_2_M,7.015.0-MAA000154-30_2_M-1
15,8,1.5576690848687254,8.015.0,MAA000154,30_2_M,8.015.0-MAA000154-30_2_M-1
15,9,1.3916526100172328,9.015.0,MAA000154,30_2_M,9.015.0-MAA000154-30_2_M-1
15,10,1.3660987422539144,10.015.0,MAA000154,30_2_M,10.015.0-MAA000154-30_2_M-1
15,11,0.3336985801558328,11.015.0,MAA000154,30_2_M,11.015.0-MAA000154-30_2_M-1
15,12,1.7772219883850708,12.015.0,MAA000154,30_2_M,12.015.0-MAA000154-30_2_M-1
15,13,0.9434989648662854,13.015.0,MAA000154,30_2_M,13.015.0-MAA000154-30_2_M-1
15,14,1.7132584342587032,14.015.0,MAA000154,30_2_M,14.015.0-MAA000154-30_2_M-1
15,15,0.4711623727342707,15.015.0,MAA000154,30_2_M,15.015.0-MAA000154-30_2_M-1
16,0,0.25433696810641404,0.016.0,MAA000154,30_2_M,0.016.0-MAA000154-30_2_M-1
16,1,0.3247941687977074,1.016.0,MAA000154,30_2_M,1.016.0-MAA000154-30_2_M-1
16,2,0.39216888936918787,2.016.0,MAA000154,30_2_M,2.016.0-MAA000154-30_2_M-1
16,3,0.22100100338299444,3.016.0,MAA000154,30_2_M,3.016.0-MAA000154-30_2_M-1
16,4,4.852064633220914,4.016.0,MAA000154,30_2_M,4.016.0-MAA000154-30_2_M-1
16,5,0.9615635653047696,5.016.0,MAA000154,30_2_M,5.016.0-MAA000154-30_2_M-1
16,6,1.4456742992205285,6.016.0,MAA000154,30_2_M,6.016.0-MAA000154-30_2_M-1
16,7,1.1937368284896315,7.016.0,MAA000154,30_2_M,7.016.0-MAA000154-30_2_M-1
16,8,0.9197546647266184,8.016.0,MAA000154,30_2_M,8.016.0-MAA000154-30_2_M-1
16,9,2.4402408724420863,9.016.0,MAA000154,30_2_M,9.016.0-MAA000154-30_2_M-1
16,10,0.27730676374137436,10.016.0,MAA000154,30_2_M,10.016.0-MAA000154-30_2_M-1
16,11,1.1033409176941438,11.016.0,MAA000154,30_2_M,11.016.0-MAA000154-30_2_M-1
16,12,1.1850929757457438,12.016.0,MAA000154,30_2_M,12.016.0-MAA000154-30_2_M-1
16,13,1.2032854650453446,13.016.0,MAA000154,30_2_M,13.016.0-MAA000154-30_2_M-1
16,14,-0.2957931034975884,14.016.0,MAA000154,30_2_M,14.016.0-MAA000154-30_2_M-1
16,15,1.569922511075907,15.016.0,MAA000154,30_2_M,15.016.0-MAA000154-30_2_M-1
17,0,0.342019722689426,0.017.0,MAA000154,30_2_M,0.017.0-MAA000154-30_2_M-1
17,1,1.4339694803708476,1.017.0,MAA000154,30_2_M,1.017.0-MAA000154-30_2_M-1
17,2,1.4259017251134856,2.017.0,MAA000154,30_2_M,2.017.0-MAA000154-30_2_M-1
17,3,0.8555269663170095,3.017.0,MAA000154,30_2_M,3.017.0-MAA000154-30_2_M-1
